Dolphin_ID_Number,Fin,Name,Dead,Dolphin_First_Observed,Comments,Fin_Shape_Family,Second_Fin_Shape_Family,Third_Fin_Shape_Family,PrintThisOne,Central_Catalog #,Manteo_Match,Virginia_Beach,Wilmington_Match,OcracokeMatch,CCUMatch,Known_Male,Seen_by_Trawler,Known_Female,s_GUID,HatterasMatch,Bad,Bad,No_Left_Photo,No_Right_Photo,Best_of_Project_Done,Better_Left_Photo,Better_Right_Photo,Cull_This_Dolphin,Scan_Picture,Change_To,Notes:,Distinctivenss,Missing_Date,Other
0020a,3/4A,,FALSE,17-Sep-02,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{10C7DD8B-E9EB-44A0-9DBA-1626EDA95750},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0021a,5A,,FALSE,10-Apr-92,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C570B5-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0021p,3/4B,,FALSE,27-Sep-01,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{0F1180B7-220E-11D6-BC29-D69F0242453F},FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0022a,5A,,FALSE,17-Sep-02,,Platform,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{D665FBEE-F036-4E1D-B97E-B2EC1D04612D},FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0023a,2A,,FALSE,25-Apr-96,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A436EE24-4778-4F1C-91BA-0B04FFD45D8D},FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,3,FALSE,FALSE
0024a,TN340,,FALSE,17-Sep-02,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{036B777D-232F-48F8-9845-E1C0A3C39032},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0025a,5B,Keyhole,FALSE,25-Jun-89,,Keyhole,,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C571C3-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0026a,LE,Onion,FALSE,12-Mar-91,,Onion,,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C571CD-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0026p,LE,Leek,FALSE,12-Jun-02,,Onion,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{697CE1B4-6422-494E-BED0-8BF9479DFFE5},FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0037a,5A,Abacus,FALSE,22-Jul-89,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C571F1-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0040a,3/4A,Agent,FALSE,07-Jul-92,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C571FA-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0041a,TN34B,,FALSE,13-Oct-95,,,,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C57204-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3,FALSE,FALSE
0041p,5A,,FALSE,08-Dec-00,1490p changed to 41p on 06Jan15 (entry in black Book on 01May19).,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{3AFC1991-0377-11D6-BC29-A1012DD24D3F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0042a,2A,Stevie Nick,FALSE,20-Jun-94,"Part of a Can of Worms between 3167a, 3167p (now deleted),3768a, and 0042a.",Captain Hook,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,{A4C57203-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0044a,3/4A,,FALSE,07-Jul-92,,Long Shallow Notch,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C5720F-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0048a,TN342,,FALSE,05-Jun-97,,Christmas Tree,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{E556EC79-2B5B-4E02-BB8D-97CAD893781E},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0051a,3/4A,Hotdog,FALSE,10-Aug-92,,,,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C57220-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0051q,3/4A,,FALSE,06-Sep-95,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C57224-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0054a,5A,,FALSE,17-Sep-02,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{316ACDDE-A47F-42AD-A230-308AC9E26B5B},FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0055a,5B,,TRUE,17-Sep-02,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{7CD783BB-D09D-4CFD-A3B9-110EE8C1190A},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0056a,FB,,FALSE,25-Sep-97,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C5722A-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0057a,1,,FALSE,30-Jul-92,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C57241-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0059a,5B,,FALSE,12-Jan-97,,Long Shallow Notch,,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,{A4C5723E-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0063a,3/4A,,FALSE,02-Aug-92,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C57255-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0063p,TN2C,,FALSE,01-Dec-17,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{69545474-3153-4596-87F0-87A7D4546226},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0065a,3/4B,Jacknife,FALSE,01-Jul-85,,,,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C5724E-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0067a,3/4B,Sgt. Flag,FALSE,21-Jun-95,,,,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C5725C-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0072a,3/4B,,FALSE,29-Jan-01,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{10941AF3-4A9B-4AC2-A987-831D68FE4FAE},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0075a,TM,Cutty,FALSE,01-Jul-85,"Neonate 6/9/98.
Seen w/ neonate on 06Jun06.
Seen w/ neonate on 24May09.",,,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,{A4C57263-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0079a,2C,,FALSE,10-Aug-92,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{B3CAC072-0BE1-40D2-9266-9D13E38FFDC5},FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0080a,3/4B,Holly,FALSE,22-Jul-89,,Square,,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,{A4C57267-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0086a,LE,Ocrab,FALSE,19-Nov-93,,Crab,,,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C57287-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0090a,TN341,,FALSE,21-Nov-02,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{6D3E9448-1772-4B0C-B437-A88D87A23775},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0091a,TN34B,,FALSE,14-Nov-02,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{D0852FD7-3345-4EEE-B1FC-5C482366EABA},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0091p,TN34B,,FALSE,03-Mar-04,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{8C6CC1F1-D36F-42BC-9EF5-A6B63C4AFAF9},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0100a,TN34B,Ciento,FALSE,01-Nov-89,,,,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56E36-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0100p,TN341,,FALSE,21-Nov-02,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{59ED34E7-8190-410C-A976-167EE48800F7},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0100q,TN341,,FALSE,21-May-03,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{B5EEAE32-AAE7-431A-99F3-90AA9F60C811},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0102a,LE,,FALSE,04-Aug-89,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56E37-CA9F-11D4-BC29-B0219AD0F73F},FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0104a,LE,,FALSE,02-Aug-92,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,{A4C56E52-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0105a,LE,Courage,FALSE,03-Aug-90,,,,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56E5B-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0105p,LE,,FALSE,30-Apr-03,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{ED96578B-BC2C-4CF2-9B8C-E046A3791134},FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0106a,LE,,FALSE,21-Sep-90,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56E62-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0107a,3/4A,,FALSE,17-Feb-94,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56E68-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0107p,TN342,,FALSE,12-Dec-06,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{FD529DA0-FE90-4D67-99E2-3AC0FE604E95},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0107q,TN342,,FALSE,05-Mar-09,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{C197AFCB-F66F-4638-85D4-B9BF699B8A28},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0108a,FNG,,FALSE,25-Jun-89,,Finger,,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56E6C-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0109a,LE,,FALSE,01-Aug-89,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,{A4C56E75-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0111a,2A,Larry,FALSE,22-Oct-96,,,,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56E79-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3,FALSE,FALSE
0111p,2B,,FALSE,02-Feb-06,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{E48C238A-2D69-4D70-902B-C98C26317E3E},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0113a,1,Elin,FALSE,20-Jul-92,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56E88-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0115a,2C,,FALSE,10-Apr-92,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56E91-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0116q,1,Hillary,FALSE,14-Oct-96,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,{A4C56E8A-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
